AAA	Anaa, French Polynesia
DUC	Duncan, OK [Halliburton Field], USA
DUD	Dunedin, New Zealand
DUE	Dundo, Angola
DUF	Duck, NC, USA
DUG	Douglas/Bisbee, AZ [Bisbee Douglas International Airport], USA
DUI	Duisburg, Germany
DUJ	Du Bois, PA [Du Bois-Jefferson County Airport], USA
DUM	Dumai, Indonesia
DUN	Dundas, Greenland
DUQ	Duncan, BC [Quamichan Lake Water Aerodrome], Canada
DUR	Durban [Louis Botha], South Africa
DUS	Duesseldorf (Dusseldorf) [Rhein-Ruhr], Germany
DUT	Dutch Harbor (Unalaska), AK [Unalaska Airport], USA
DUX	Dumas, TX [Moore County Airport], USA
DVA	Deva, Romania
DVK	Danville, KY [Stuart Powell Field], USA
DVL	Devils Lake, ND [Devils Lake Municipal Airport], USA
DVN	Davenport, IA [Davenport Municipal Airport], USA
DVO	Davao City [Francisco Bangoy International], Philippines
DVP	Davenport Downs, Queensland, Australia
DVR	Daly River, Northern Territory, Australia
DVT	Phoenix, AZ [Phoenix-Deer Valley Municipal Airport], USA
DVX	Denver, CO [Denver International Airport], USA
DWB	Soalala, Madagascar
DWH	Houston, TX [David Wayne Hooks Memorial Airport], USA
DWN	Oklahoma City, OK [Downtown Airpark], USA
DWS	Orlando, FL [Lake Buena Vista STOL], USA
DXA	Deux Alpes, France
DXB	Dubai, United Arab Emirates
DXD	Dixie, Queensland, Australia
DXE	Dexter, MO [Dexter Municipal Airport], USA
DXR	Danbury, CT [Danbury Municipal Airport], USA
DXX	Madison, MN [Madison-Lac Qui Parle County Airport], USA
DYA	Dysart, Queensland, Australia
DYB	Summerville, SC [Dorchester County Airport], USA
DYG	Dayong, China
DYM	Diamantina Lakes, Queensland, Australia
DYR	Anadyr, Magadan, Russia
DYS	Abilene, TX [Dyess Air Force Base], USA
DYU	Dushanbe, Karotegin, Tajikistan
DYW	Daly Waters, Northern Territory, Australia
DZA	Dzaoudzi (Mamoudzou) [Pamandzi], Mayotte
DZI	Codazzi, Colombia
DZN	Zhezqazghan (Dzhezkazgan), Zhezqazghan, Kazakhstan
EAA	Eagle, AK [Eagle Airport], USA
EAB	Abbse, Yemen
EAE	Emae, Vanuatu
EAG	Eagle Grove, IA [Eagle Grove Municipal Airport], USA
EAH	El Arish, Egypt
EAM	Nejran, Saudi Arabia
EAN	Wheatland, WY [Phifer Airfield], USA
EAP	Basel/Mulhouse [EuroAirport], Switzerland/France
EAR	Kearney, NE [Kearney Municipal Airport], USA
EAS	San Sebastian, Spain
EAT	Wenatchee, WA [Pangborn Memorial Airport], USA
EAU	Eau Claire, WI [Chippewa Valley Regional Airport], USA
EBA	Elba Island, Italy
EBB	Kampala (Entebbe), Uganda
EBD	El Obeid, Sudan
EBG	El Barge, Colombia
EBJ	Esbjerg, Denmark
EBM	El Borma, Algeria
EBN	Ebadon, Marshall Islands
EBS	Webster City, IA [Webster City Municipal Airport], USA
EBU	Saint-Etienne [Boutheon], France
EBW	Ebolowa, Cameroon
ECA	East Tawas, MI [Iosco County Airport], USA
ECE	El Campo, TX [El Campo Metro Airport Inc.], USA
ECG	Elizabeth City, NC [Elizabeth City Cost Guard Air Station/Municipal], USA
ECH	Echuca, New South Wales, Australia
ECN	Ercan, Cyprus
ECO	El Encanto, Colombia
ECR	El Charco, Colombia
ECS	Newcastle, WY [Mondell Field], USA
EDA	Edna Bay, AK, USA
EDB	El Debba, Sudan
EDD	Erldunda, Northern Territory, Australia
EDE	Edenton, NC [Edenton Municipal Airport], USA
EDF	Anchorage, AK [Elmendorf Air Force Base], USA
EDG	Edgewood Arsenal, MD [Weide Army Air Field], USA
EDI	Edinburgh, Scotland, United Kingdom
EDK	El Dorado, KS [Captain Jack Thomas/El Dorado Airport], USA
EDL	Eldoret, Kenya
EDM	La Roche, France
EDQ	Erandique, Honduras
EDR	Edward River, Queensland, Australia
EDW	Edwards, CA [Edwards Air Force Base], USA
EED	Needles, CA [Needles Airport], USA
EEK	Eek, AK [Eek Airport], USA
EEN	Keene, NH [Dillant-Hopkins Airport], USA
EFB	Eight Fathombight, United Kingdom
EFC	Belle Fourche, SD [Belle Fourche Municipal Airport], USA
EFD	Houston, TX [Ellington Field], USA
EFG	Efogi, Papua New Guinea
EFK	Newport, VT [Newport State Airport], USA
EFL	Kefalonia (Kefallinia), Greece
EFO	East Fork, AK, USA
EFW	Jefferson, IA [Jefferson Municipal Airport], USA
EGA	Engati, Papua New Guinea
EGC	Bergerac, France
EGD	Egegik, AK [Egegik (New) Airport], USA
EGE	Vail/Eagle, CO [Eagle County Regional Airport], USA
EGI	Valparaiso, FL [Eglin Air Force Auxiliary Nr. 3 Duke Airport], USA
EGL	Neghelli, Ethiopia
EGM	Sege, Solomon Islands
EGN	El Geneina, Sudan
EGP	Eagle Pass, TX [Eagle Pass Municipal Airport], USA
EGQ	Emmetsburg, IA [Emmetsburg Municipal Airport], USA
EGS	Egilsstadir, Iceland
EGT	Wellington, KS [Wellington Municipal Airport], USA
EGV	Eagle River, WI [Eagle River Union Airport], USA
EHA	Elkhart, KS [Elkhart-Morton County Airport], USA
EHC	Erhac, Turkey
EHL	El Bolson, Argentina
EHM	Cape Newenham, AK [Cape Newhenham LRRS], USA
EHO	Shelby, NC [Shelby Municipal Airport], USA
EHT	East Hartford, CT [Rentschler Airport], USA
EIA	Eia, Papua New Guinea
EIE	Enisejsk, Russia
EIH	Einasleigh, Queensland, Australia
EIL	Fairbanks, AK [Eielson Air Force Base], USA
EIN	Eindhoven, Netherlands
EIS	Tortola, Beef Is., British Virgin Islands
EIW	New Madrid, MO [County Memorial Airport], USA
EIY	Ein Yahav, Israel
EJA	Barrancabermeja, Colombia
EJH	Wedjh, Saudi Arabia
EKA	Eureka, CA [Murray Field], USA
EKB	Ekibastuz, Kazakhstan
EKD	Elkedra, Northern Territory, Australia
EKE	Ekereku, Guyana
EKI	Elkhart, IN [Elkhart Municipal Airport], USA
EKN	Elkins, WV [Elkins-Randolph County-Jennings Randolph Field], USA
EKO	Elko, NV [Elko Municipal Airport-J. C. Harris Field], USA
EKQ	Monticello, KY [Wayne County Airport], USA
EKT	Eskilstuna, Sweden
EKX	Elizabethtown, KY [Addington Field], USA
ELA	Eagle Lake, TX [Eagle Lake Airport], USA
ELB	El Banco, Colombia
ELC	Elcho Island, Northern Territory, Australia
ELD	El Dorado, AR [Goodwin Field], USA
ELE	El Real, Panama
ELF	El Fasher, Sudan
ELG	El Golea, Algeria
ELH	North Eleuthera, Eleuthera [North Eleuthera], Bahamas
ELI	Elim, AK [Elim Airport], USA
ELJ	El Recreo, Colombia
ELK	Elk City, OK [Elk City Municipal Airport], USA
ELL	Ellisras, South Africa
ELM	Elmira, NY [Elmira/Corning Regional Airport], USA
ELN	Ellensburg, WA [Bowers Field], USA
ELO	Eldorado, Argentina
ELP	El Paso, TX [El Paso International Airport], USA
ELQ	Gassim, Saudi Arabia
ELS	East London, South Africa
ELT	Tour Sinai City, Egypt
ELU	El Oued [Guemar], Algeria
ELV	Elfin Cove, AK [Elfin Cove Seaplane Base], USA
ELW	Ellamar, AK [Ellamar Seaplane Base], USA
ELY	Ely, NV [Ely Airport (Yelland Field)], USA
ELZ	Wellsville, NY [Wellsville Municipal Airport/Tarantine Field], USA
EMA	East Midlands (Derby), United Kingdom
EMB	San Francisco, CA [Embarcadero], USA
EMD	Emerald, Queensland, Australia
EME	Emden, Germany
EMG	Empangeni, South Africa
EMI	Emirau, Papua New Guinea
EMK	Emmonak, AK [Emmonak Airport], USA
EMM	Kemmerer, WY [Kemmerer Municipal Airport], USA
EMN	Nema, Mauritania
EMO	Emo, Papua New Guinea
EMP	Emporia, KS [Emporia Municipal Airport], USA
EMS	Embessa, Papua New Guinea
EMT	El Monte, CA [El Monte Airport], USA
EMV	Emporia, VA [Emporia-Greensville Municipal Airport], USA
EMX	El Maiten, Argentina
EMY	El Minya, Egypt
ENA	Kenai, AK [Kenai Municipal Airport], USA
ENB	Eneabba, Western Australia, Australia
ENC	Nancy [Essey], France
END	Enid, OK [Vance Air Force Base], USA
ENE	Ende, Indonesia
ENF	Enontekio (Enontekioe), Finland
ENH	Enshi, China
ENJ	El Naranjo, Guatemala
ENK	Enniskillen, Northern Ireland [St. Angelo Airport], United Kingdom
ENL	Centralia, IL [Centralia Municipal Airport], USA
ENM	Jaen, Spain
ENN	Nenana, AK [Nenana Municipal Airport], USA
ENO	Encarnacion, Paraguay
ENS	Enschede, Netherlands
ENT	Enitewok, Marshall Islands
ENU	Enugu, Nigeria
ENV	Wendover, UT [Wendover Airport], USA
ENW	Kenosha, WI [Kenosha Municipal Airport], USA
ENY	Yan An, China
EOD	Fort Campbell (Clarksville), TN [Sabre Army Heliport], USA
EOH	Medellin, Colombia
EOI	Eday, United Kingdom
EOK	Keokuk, IA [Keokuk Municipal Airport], USA
EOR	El Dorado, Venezuela
EOS	Neosho, MO [Neosho Memorial Airport], USA
EOZ	Elorza, Venezuela
EPG	Weeping Water, NE [Browns Airport], USA
EPH	Ephrata, WA [Ephrata Municipal Airport], USA
EPI	Epi, Vanuatu
EPK	Episkopi, Cyprus
EPL	Epinal, France
EPM	Eastport, ME [Eastport Municipal Airport], USA
EPN	Epena, Congo
EPR	Esperance, Western Australia, Australia
EPT	Eliptamin, Papua New Guinea
EQS	Esquel, Argentina
EQY	Monroe, NC [Monroe Airport], USA
ERA	Erigavo, Somalia
ERB	Ernabella, South Australia, Australia
ERC	Erzincan, Turkey
ERD	Berdyansk, Zaporizhzhya, Ukraine
ERE	Erave, Papua New Guinea
ERF	Erfurt, Germany
ERG	Eromanga, Queensland, Australia
ERH	Errachidia, Morocco
ERI	Erie, PA [Erie International Airport], USA
ERM	Erechim, RS, Brazil
ERN	Eirunepe, AM, Brazil
ERO	Eldred Rock, AK [Eldred Rock Coast Guard Heliport], USA
ERR	Errol, NH [Errol Airport], USA
ERS	Windhoek [Eros], Namibia
ERU	Erume, Papua New Guinea
ERV	Kerrville, TX [Kerrville Municipal Airport/Louis Schreiner Field], USA
ERY	Newberry, MI [Luce County Hale Airport], USA
ERZ	Erzurum, Turkey
ESA	Esa'Ala, Papua New Guinea
ESB	Ankara [Esenboga], Turkey
ESC	Escanaba, MI [Delta County Airport], USA
ESD	Eastsound, WA [Orcas Island Airport], USA
ESE	Ensenada [El Cipres], Mexico
ESF	Alexandria, LA [Alexandria Esler Regional Airport], USA
ESG	Mariscal Estigarribia, Paraguay
ESH	Shoreham, United Kingdom
ESI	Espinosa, MG, Brazil
ESK	Eskisehir, Turkey
ESL	Elista, Kalmykia, Russia
ESM	Esmeraldas [General Rivadeneira], Ecuador
ESN	Easton, MD [Easton Airport/Newnam Field], USA
ESO	Espanola, NM [San Juan Pueblo Airport], USA
ESR	El Salvador, Chile
ESS	Essen, Germany
EST	Estherville, IA [Estherville Municipal Airport], USA
ESW	Easton, WA [Easton State Airport], USA
ETB	West Bend, WI [West Bend Municipal Airport], USA
ETC	Tarboro, NC [Tarboro-Edgecombe Airport], USA
ETD	Etadunna, South Australia, Australia
ETE	Genda Wuha, Ethiopia
ETH	Elat [Hozman], Israel
ETN	Eastland, TX [Eastland Municipal Airport], USA
ETS	Enterprise, AL [Enterprise Municipal Airport], USA
ETZ	Metz/Nancy [Lorraine], France
EUA	Eua, Tonga
EUC	Eucla, Western Australia, Australia
EUE	Eureka, NV [Eureka Airport], USA
EUF	Eufaula, AL [Weedon Field], USA
EUG	Eugene, OR [Mahlon Sweet Field], USA
EUM	Neumuenster, Germany
EUN	Laayoune, Morocco
EUO	Paratebueno, Colombia
EUX	St. Eustathius [F.D. Roosevelt], Netherlands Antilles
EVA	Evadale, TX [Evadale Landing Strip], USA
EVD	Eva Downs, Northern Territory, Australia
EVE	Evenes, Norway
EVG	Sveg, Sweden
EVH	Evans Head, New South Wales, Australia
EVL	Jevlach, Naxcivan, Azerbaijan
EVM	Eveleth, MN [Eveleth-Virginia Municipal Airport], USA
EVN	Erevan (Yerevan) [Zapadny], Armenia
EVU	Maryville, MO [Maryville Memorial Airport], USA
EVV	Evansville, IN [Evansville Regional Airport], USA
EVW	Evanston, WY [Evanston-Uinta County Burns Field], USA
EVX	Evreux, France
EWB	New Bedford, MA [New Bedford Regional Airport], USA
EWE	Ewer, Indonesia
EWI	Enarotali, Indonesia
EWK	Newton, KS [Newton-City-County Airport], USA
EWN	New Bern, NC [Craven County Regional Airport], USA
EWO	Ewo, Congo
EWR	Newark, NJ [Newark International Airport], USA
EWU	Newtok, AK [Newtok Airport], USA
EWY	Newbury, England [Greenham Common RAF Station], United Kingdom
EXI	Excursion Inlet, AK [Excursion Inlet Seaplane Base], USA
EXM	Exmouth, United Kingdom
EXT	Exeter, United Kingdom
EXX	Lexington, NC [Lexington Municipal Airport], USA
EYL	Yelimane, Mali
EYP	El Yopal, Colombia
EYQ	Houston, TX [Weiser Air Park], USA
EYR	Yerington, NV [Yerington Municipal Airport], USA
EYS	Eliye Springs, Kenya
EYW	Key West, FL [Key West International Airport], USA
EZE	Buenos Aires [Aeropuerto Internacional Ezeiza/Ministro Pistarini], Argentina
EZF	Fredericksburg, VA [Shannon Airport], USA
EZI	Kewanee, IL [Kewanee Municipal Airport], USA
EZM	Eastman, GA [Eastman-Dodge County Airport], USA
EZS	Elazig, Turkey
EZZ	Cameron, MO [Cameron Memorial Airport], USA
FAA	Faranah, Guinea
FAB	Farnborough, England, United Kingdom
FAC	Faatte, French Polynesia
FAE	Sorvag (Faroe Islands), Faroe Is. [Vagar], Denmark
FAF	Fort Eustis, VA [Felker Army Air Field], USA
FAG	Fagurholsmyri, Iceland
FAH	Farah, Afghanistan
FAI	Fairbanks, AK [Fairbanks International Airport], USA
FAJ	Fajardo [Diego Jimenez Torres Airport], Puerto Rico
FAK	False Island, AK [False Island Seaplane Base], USA
FAL	Roma, TX [Falcon State Park Airport], USA
FAM	Farmington, MO [Farmington Regional Airport], USA
FAN	Farsund [Lista], Norway
FAO	Faro, Portugal
FAQ	Fitiuta Village [Fitiuta Airport], American Samoa
FAR	Fargo, ND [Hector International Airport], USA
FAS	Faskrudsfjordur, Iceland
FAT	Fresno, CA [Fresno Air Terminal], USA
FAV	Fakarava, Society Islands, French Polynesia
FAY	Fayetteville, NC [Fayetteville Regional Airport/Grannis Field], USA
FBD	Faizabad, Afghanistan
FBE	Francisco Beltrao, PR, Brazil
FBG	Fort Bragg, NC [Simmons Army Air Field], USA
FBK	Fairbanks/Fort Wainwright, AK [Wainwright Army Air Field], USA
FBL	Faribault, MN [Faribault Municipal Airport], USA
FBM	Lubumbashi [Luano], Zaire
FBR	Fort Bridger, WY [Fort Bridger Airport], USA
FBU	Oslo [Fornebu], Norway
FBY	Fairbury, NE [Fairbury Municipal Airport], USA
FCA	Kalispell, MT [Glacier Park International Airport], USA
FCB	Ficksburg, South Africa
FCH	Fresno, CA [Fresno-Chandler Downtown Airport], USA
FCI	Richmond, VA [Chesterfield County Airport], USA
FCM	Minneapolis, MN [Flying Cloud Airport], USA
FCO	Roma (Rome) [Leonardo da Vinci/Fiumicino], Italy
FCS	Colorado Springs/Fort Carson, CO [Butts Army Air Field], USA
FCT	Yakima, WA [Vagabond Army Air Field], USA
FCY	Forrest City, AR [Forrest City Municipal Airport], USA
FDA	Fundacion, Colombia
FDB	Principe da Beira, RO, Brazil
FDE	Foerde (Forde) [Bringeland], Norway
FDF	Fort-de-France [Le Lamentin], Martinique
FDH	Friedrichshafen [Lowenthal], Germany
FDK	Frederick, MD [Frederick Municipal Airport], USA
FDP	Fariopur, Bangladesh
FDR	Frederick, OK [Frederick Municipal Airport], USA
FDU	Bandundu, Zaire
FDW	Winnsboro, SC [Fairfield County Airport], USA
FDY	Findlay, OH [Findlay Airport], USA
FEA	Fetlar Island, United Kingdom
FEB	Sanfebagar, Nepal
FEG	Farghona (Fergana), Farghona, Uzbekhistan
FEK	Ferkessedougou, Ivory Coast
FEL	Fuerstenfeldbruck [Fuerstenfeldbruck Air Base], Germany
FEN	Fernando de Noronha, FN, Brazil
FEP	Freeport, IL [Albertus Airport], USA
FER	Fergusons Gulf, Kenya
FES	Festus, MO [Festus Memorial Airport], USA
FET	Fremont, NE [Fremont Municipal Airport], USA
FEW	Cheyenne, WY [Francis E. Warren Air Force Base], USA
FEZ	Fes (Fez) [Saiss], Morocco
FFA	Kill Devil Hills, NC [First Flight Airport], USA
FFC	Peachtree City, GA [Peachtree City Airport-Falcon Field], USA
FFD	Fairford, England [Fairford RAF Station], United Kingdom
FFL	Fairfield, IA [Fairfield Municipal Airport], USA
FFM	Fergus Falls, MN [Fergus Falls Municipal Airport-Einar Mickelson Field], USA
FFO	Dayton, OH [Wright-Patterson Air Force Base], USA
FFT	Frankfort, KY [Capital City Airport], USA
FFU	Futaleufu, Chile
FGD	F'derik, Mauritania
FGI	Apia [Fabali Si], Western Samoa
FGL	Fox Glacier, New Zealand
FGU	Fangatau, French Polynesia
FGX	Flemingsburg, KY [Fleming-Mason Airport], USA
FHK	Fort Zucker/Ozark, AL [Knox Army Heliport], USA
FHU	Fort Huachuca/Sierra Vista, AZ [Libby Army Air Field-Sierra Vista Municipal], USA
FHZ	Fakahina, French Polynesia
FIC	Fire Cove, AK, USA
FID	Fishers Island, NY [Elizabeth Field], USA
FIE	Fair Isle, United Kingdom
FIG	Fria, Guinea
FIH	Kinshasa [N'Djili], Zaire
FIK	Finke, Northern Territory, Australia
FIL	Fillmore, UT [Fillmore Airport], USA
FIN	Finschhafen, Papua New Guinea
FIT	Fitchburg, MA [Fitchburg Municipal Airport], USA
FIV	Five Fingers, AK [Five Fingers Coast Guard Heliport], USA
FIZ	Fitzroy Crossing, Western Australia, Australia
FJR	Alfujairah (Fujairah), United Arab Emirates
FKH	Fakenham, England [Sculthorpe RAF Station], United Kingdom
FKI	Kisangani [Bangoka], Zaire
FKJ	Fukui, Japan
FKL	Franklin, PA [Venango Regional Airport], USA
FKN	Franklin, VA [Franklin Municipal-John Beverly Rose Airport], USA
FKQ	Fakfak (Fak Fak), New Guinea, Indonesia
FKR	Frankfort, IN [Frankfort Municipal Airport], USA
FKS	Fukushima, Japan
FLA	Florencia, Colombia
FLB	Floriano, PI, Brazil
FLC	Falls Creek, Australia
FLD	Fond du Lac, WI [Fond du Lac County Airport], USA
FLE	Petersburg/Fort Lee, VA [Fort Lee nr. 1 (headquarters) Heliport], USA
FLF	Flensburg, Germany
FLG	Flagstaff, AZ [Flagstaff Pulliam Airport], USA
FLH	Flotta Isle, United Kingdom
FLI	Flateyri [Holt], Iceland
FLJ	Falls Bay, AK, USA
FLL	Fort Lauderdale, FL [Fort Lauderdale/Hollywood International Airport], USA
FLM	Filadelfia, Paraguay
FLN	Florianopolis, SC, Brazil
FLO	Florence, SC [Florence Regional Airport], USA
FLP	Flippin, AR [Marion County Regional Airport], USA
FLR	Firenze (Florence) [Peretola], Italy
FLS	Flinders Island, Tasmania, Australia
FLT	Flat, AK [Flat Airport], USA
FLU	New York (Flushing), NY [Flushing Airport], USA
FLV	Fort Leavenworth, KS [Sherman Army Air Field], USA
FLW	Santa Cruz (Flores Island), Azores, Portugal
FLX	Fallon, NV [Fallon Municipal Airport], USA
FLY	Finley, New South Wales, Australia
FMA	Formosa, Argentina
FMC	Five Mile, AK [Five Mile Airport], USA
FME	Fort Meade (Odenton), MD [Tipton Army Air Field], USA
FMH	Falmouth, MA [Otis Army National Guard Base], USA
FMI	Kalemie, Zaire
FMN	Farmington, NM [Four Corners Regional Airport], USA
FMO	Muenster (Munster)/Osnabrueck (Osnabruck) [Greven], Germany
FMS	Fort Madison, IA [Fort Madison Municipal Airport], USA
FMY	Fort Myers, FL [Page Field], USA
FMZ	Fairmont, NE [Fairmont State Airfield], USA
FNA	Freetown [Lungi Airport], Sierra Leone
FNB	Falls City, NE [Brenner Field], USA
FNC	Funchal, Madeira, Portugal
FNE	Fane, Papua New Guinea
FNG	Fada Ngourma, Burkina Faso
FNH	Fincha, Ethiopia
FNI	Nimes [Arles-Camargue (Garons)], France
FNJ	Pyongyang, North Korea
FNK	Fin Creek, AK, USA
FNL	Fort Collins/Loveland, CO [Fort Collins-Loveland Municipal Airport], USA
FNR	Funter Bay, AK [Funter Bay Seaplane Base], USA
FNT	Flint, MI [Bishop International Airport], USA
FOA	Foula, Shetland Islands, United Kingdom
FOB	Fort Bragg, CA [Fort Bragg Airport], USA
FOC	Fuzhou, China
FOD	Fort Dodge, IA [Fort Dodge Regional Airport], USA
FOE	Topeka, KS [Forbes Field], USA
FOG	Foggia [Gino Lisa], Italy
FOK	Westhampton Beach, NY [The Francis S. Gabreski Airport], USA
FOM	Foumban, Cameroon
FOO	Numfoor, Indonesia
FOP	Forest Park, GA, USA
FOR	Fortaleza, CE, Brazil
FOS	Forrest, Western Australia, Australia
FOT	Forster, New South Wales, Australia
FOU	Fougamou, Gabon
FOX	Fox, AK, USA
FOY	Foya, Liberia
FPO	Freeport, Grand Bahama [Freeport International Airport], Bahamas
FPR	Fort Pierce, FL [St. Lucie County International Airport], USA
FPY	Perry, FL [Perry-Foley Airport], USA
FQT	Merville/Calonne, France
FRA	Frankfurt [Rhein-Main], Germany
FRB	Forbes, New South Wales, Australia
FRC	Franca, SP, Brazil
FRD	Friday Harbor, WA [Friday Harbor Airport], USA
FRE	Fera Island, Solomon Islands
FRF	Frankfurt [Rhein-Main Air Force Base], Germany
FRG	Long Island (Farmingdale), NY [Republic Airport], USA
FRH	French Lick, IN [French Lick Municipal Airport], USA
FRI	Fort Riley (Junction City), KS [Marshall Army Air Field], USA
FRJ	Frejus, France
FRK	Fregate Island, Seychelles
FRL	Forli, Italy
FRM	Fairmont, MN [Fairmont Municipal Airport], USA
FRN	Fort Richardson (Anchorage), AK [Bryant Army Heliport], USA
FRO	Floro, Norway
FRP	Fresh Water Bay, AK, USA
FRQ	Feramin, Papua New Guinea
FRR	Front Royal, VA [Front Royal-Warren County Airport], USA
FRS	Flores, Guatemala
FRU	Bishkek (Frunze), Chuy, Kyrgyzstan
FRW	Francistown, Botswana
FRY	Fryeburg, ME [Eastern Slopes Regional Airport], USA
FRZ	Fritzlar [Fritzlar Air Base], Germany
FSC	Figari, Corsica, France
FSD	Sioux Falls, SD [Joe Foss Field], USA
FSE	Fosston, MN [Fosston Municipal Airport], USA
FSI	Fort Sill, OK [Henry Post Army Air Field], USA
FSK	Fort Scott, KS [Fort Scott Municipal Airport], USA
FSL	Fossil Downs, Western Australia, Australia
FSM	Fort Smith, AR [Fort Smith Municipal Airport], USA
FSN	Fort Sheridan, IL, USA
FSO	Highgate, VT [Franklin County State Airport], USA
FSP	St. Pierre, St. Pierre & Miquelon
FSS	Forres, United Kingdom
FST	Fort Stockton, TX [Fort Stockton-Pecos County Airport], USA
FSU	Fort Sumner, NM [Fort Sumner Municipal Airport], USA
FTA	Futuna Island, Wallis and Futuna Islands
FTG	Denver, CO [Front Range Airport], USA
FTI	Fitiuta, American Samoa
FTK	Fort Knox, KY [Godman Army Air Field], USA
FTL	Fortuna Ledge, AK, USA
FTT	Fulton, MO [Elton Hensley Memorial Airport], USA
FTU	Fort Dauphin, Madagascar
FTV	Fort Victoria, Zimbabwe
FTW	Fort Worth, TX [Fort Worth Meacham Airport], USA
FTX	Fort Rousset, Congo
FTY	Atlanta, GA [Fulton County Airport-Brown Field], USA
FUB	Fulleborn, Papua New Guinea
FUE	Fuerteventura/Puerto del Rosario, Canary Islands, Spain
FUG	Fuyang, China
FUJ	Fukue, Japan
FUK	Fukuoka, Kyoshu [Itazuke Air Force Base], Japan
FUL	Fullerton, CA [Fullerton Municipal Airport], USA
FUM	Fuma, Papua New Guinea
FUN	Funafuti, Tuvalu
FUO	Fuoshan, China
FUT	Futuna, Wallis and Futuna Islands
FVX	Farmville, VA [Farmville Municipal Airport], USA
FWA	Fort Wayne, IN [Fort Wayne International Airport], USA
FWC	Fairfield, IL [Fairfield Municipal Airport], USA
FWL	Farewell, AK [Farewell Airport], USA
FWM	Fort William, United Kingdom
FWS	Fort Worth, TX [Fort Worth Spinks Airport], USA
FXE	Fort Lauderdale, FL [Fort Lauderdale Executive Airport], USA
FXM	Flaxman, AK, USA
FXO	Cuamba (Nova Freixo), Mozambique
FXY	Forest City, IA [Forest City Municipal Airport], USA
FYE	Somerville, TN [Fayette County Airport], USA
FYM	Fayetteville, TN [Fayetteville Municipal Airport], USA
FYN	Fuyun, China
FYT	Faya, Chad
FYU	Fort Yukon, AK [Fort Yukon Airport], USA
FYV	Fayetteville, AR [Drake Field], USA
FZG	Fitzgerald, GA [Fitzgerald Municipal Airport], USA
FZI	Fostoria, OH [Fostoria Metro Airport], USA
FZO	Filton, United Kingdom
GAA	Guamal, Colombia
GAB	Gabbs, NV [Gabbs Airport], USA
GAC	Gracias, Honduras
GAD	Gadsden, AL [Gadsden Municipal Airport], USA
GAE	Gabes, Tunisia
GAF	Gafsa, Tunisia
GAG	Gage, OK [Gage Airport], USA
GAH	Gayndah, Queensland, Australia
GAI	Gaithersburg, MD [Montgomery County Airpark], USA
GAJ	Yamagata, Honshu, Japan
GAK	Gakona, AK, USA
GAL	Galena, AK [Galena Airport], USA
GAM	Gambell, AK [Gambell Airport], USA
GAN	Gan Island, Maldives
GAO	Guantanamo [Los Canos], Cuba
GAP	Gusap, Papua New Guinea
GAQ	Gao, Mali
GAR	Garaina, Papua New Guinea
GAS	Garissa, Kenya
GAT	Gap, France
GAU	Guwahati (Gauhati), India
GAV	Gag Island, Indonesia
GAW	Gangaw, Myanmar
GAX	Gamba, Gabon
GAY	Gaya, India
GAZ	Globe, AZ [Globe-San Carlos Regional Air Facility], USA
GBA	Big Bay, Vanuatu
GBB	Gara Djebilet, Algeria
GBC	Gasuke, Papua New Guinea
GBD	Great Bend, KS [Great Bend Municipal Airport], USA
GBE	Gaborone [Sir Seretse Khama International], Botswana
GBF	Negarbo, Papua New Guinea
GBG	Galesburg, IL [Galesburg Municipal Airport], USA
GBH	Galbraith Lake, AK [Galbraith Lake Airport], USA
GBI	Grand Bahama Island, Grand Bahama, Bahamas
GBJ	Marie Galante, Guadeloupe
GBK	Gbangbatok, Sierra Leone
GBL	Goulburn Island, Northern Territory, Australia
GBM	Garbaharey, Somalia
GBN	Gila Bend, AZ [Gila Bend Air Force Auxiliary Airport], USA
GBO	Greensboro (Baltimore), MD, USA
GBP	Gamboola, Queensland, Australia
GBR	Great Barrington, MA [Great Barrington Airport], USA
GBS	Port Fitzroy, New Zealand
GBU	Khashm el Girba, Sudan
GBV	Gibb River, Western Australia, Australia
GBY	Galkayo, Somalia
GBZ	Great Barrier Island, New Zealand
GCA	Guacamayas, Colombia
GCC	Gillette, WY [Gillette-Campbell County Airport], USA
GCI	Guernsey, Channel Islands
GCJ	Johannesburg [Grand Central Airport], South Africa
GCK	Garden City, KS [Garden City Regional Airport], USA
GCM	Grand Cayman, Grand Cayman [Owen Roberts], Cayman Islands
GCN	Grand Canyon, AZ [Grand Canyon National Park Airport], USA
GCT	Guthrie Center, IA [Guthrie County Regional Airport], USA
GCY	Greeneville, TN [Greeneville Municipal Airport], USA
GDA	Gounda, Central African Republic
GDC	Greenville, SC [Donaldson Center Airport], USA
GDD	Gordon Downs, Western Australia, Australia
GDE	Gode, Ethiopia
GDI	Gordil, Central African Republic
GDJ	Gandajika, Zaire
GDL	Guadalajara [Miguel Hidalgo y Costilla], Mexico
GDM	Gardner, MA [Gardner Municipal Airport], USA
GDN	Gdansk [Rebiechowo], Poland
GDO	Guasqualito, Venezuela
GDP	Guadalupe, TX, USA
GDQ	Gondar, Ethiopia
GDT	Grand Turk, Grand Turk Is., Turks & Caicos
GDV	Glendive, MT [Dawson Community Airport], USA
GDW	Gladwin, MI [Charles C. Zettel Memorial Airport], USA
GDX	Magadan, Magadan, Russia
